bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20211243131,국립이천호국원 확충사업,35619288000,2,,,
20220233465,은평 광역자원순환센터 건립사업 건축공사,24973181000,3,,,
20220238908,해양생태과학관 건립공사(소방),981814000,3,,,
20220310909,내포지식산업센터 건립사업 소방공사,1162851000,3,,,
20220312177,당진 공공하수처리시설 증설공사,24466397000,3,,,
20220312570,친환경선박 연구지원 인프라 구축사업(1단계) 공사,5139925000,3,,,
20220312905,현포항 방파제 보강공사(1차),18878180000,2,,,
20220314491,"제주시 서부지역 복합체육관 건설공사(건축,토목,기계,조경)",20378560000,3,,,
20220315740,남일~금산 도로건설공사,15418386000,2,,,
20220316373,남항 항만배후단지(아암물류2단지)(2단계) 조성공사,77727945000,2,,,
20220317007,고양시 노후상수관로 정비사업(고양블록 등 6개블록),11101980000,3,,,
20220317330,버섯표본연구동 신축 공사(건축),1330117000,2,,,
20220317644,"방사선의학 실용화센터 증축 공사(건축, 기계, 토목, 조경)",5395994000,2,,,
20220318281,한강시네폴리스 일반산업단지 진입도로 3구간 개설공사(토목),26235990000,3,,,
20220319794,춘천 후평일반산업단지 재생사업,10581637000,3,,,
20220320754,"해양생태과학관 건립공사(건축,토목,기계,조경)",11639902000,3,,,
20220322254,관악벽산블루밍 세대내 자동식 소화기 교체공사,129214000,3,129214000,87.745,112743290
20220323078,양호지구 배수개선사업 토목공사,4211783000,2,,,
20220323257,"학현,내기처리분구 하수관로 정비사업(1단계)(장기계속, 총괄분)",19391493000,3,,,
20220323310,성남-장호원 도로건설공사(제6-2공구),106835565000,2,,,
20220324224,"배방 복합커뮤니티센터 신축 공사(건축, 토목, 조경, 기계)",11737579000,3,,,
20220324477,3D프린팅 융합기술센터 신축 건축공사,8645995000,2,,,
20220325573,양평사무소 증축공사,634918000,2,,,
20220325712,"태장배수지 설치사업(토목,건축,기계,조경)",31761670000,3,,,
20220325722,신진주유치원 신축공사,6259979000,3,,,
20220325864,2022년도 인천미추홀소방서 소방용수시설 유지보수 공사,68932480,3,,,
20220326464,"안성맞춤공감센터 건립공사(건축,토목,기계)",12571566000,3,,,
20220327053,한국가스안전공사 수소버스 충전소 부품시험평가센터 건립공사(건축),2775364000,2,,,
20220327249,(가칭)외삼미1유 신축공사,5845517000,3,,,
20220327991,남성지구 수리시설개보수사업 토목공사,3403362000,2,,,
20220329322,화성시 향남문화복합센터 건립공사(소방),838555000,3,,,
20220330417,괴산읍도시재생뉴딜사업(괴산허브센터)건축공사,6487105000,3,,,
20220330447,"약용작물 생산연구시설 신축공사(건축,기계)",4748828000,2,,,
20220330604,장기지하차도 터널등 조도 개선공사,157784000,3,143440000,87.745,137135088
20220332083,김천중앙고등학교 교사이전 신축 정보통신공사,843135000,3,,,
20220334713,화성시북부노인복지관 건립공사(소방),987002000,3,,,
20220335564,하탑중 외 8교 건물 소규모 도장공사,19282000,3,,,
20220335592,남일∼보은(제1공구) 도로건설공사,75850068000,2,,,
20220336107,바우뫼복지문화회관 냉난방기 교체,163900000,3,,,
20220336366,김천중앙고등학교 교사이전 신축 전기공사,2032627000,3,,,
20220336452,나주포장 무병묘 생산온실 신축공사(건축),514543000,2,497572728,0,451556315
20220337087,하남3지구 생활체육시설 건립공사,11388543000,3,10394610000,0,9277618000
20220337094,가촌초 교사증축공사,1463855000,3,,,
20220337214,곡교천 탕정지구 하천환경정비사업,16973937000,2,,,
20220337297,국도21호선 목주교 교면포장 보수공사,1122837000,2,,,
20220337342,세종시 반다비 빙상장 건립사업 건축공사,9189334000,3,,,
20220337479,초전동 외 8개지구 하수관로 정비사업(총괄),15066417000,3,,,
20220337543,"국립소록도병원 치료병동 기계설비, 소방설비공사(건축+기계)",472335000,2,437430000,0,418547200
20220337615,한국가스안전공사 수소버스 충전소 부품시험평가센터 건립공사(기계),221472000,2,,,
20220337846,구룡 집넘어골 옹벽 정비공사,14949000,3,,,
20220338256,창원대학교 인문대학 리모델링 건축공사,7175675000,2,,,
20220338859,인천애뜰 공영주차장 설치 공사,16239038000,3,,,
20220338991,덕수궁 돈덕전영역 조경정비 공사,302248000,2,,,
20220339414,청주 하수처리장 증설사업(3단계),41447731000,3,,,
20220339453,해수온도차발전 핵심장치 보관 및 유지 실험동 건축 공사,297541000,2,,,
20220339796,가칭 와우초 신축 소방공사,921299000,3,,,
20220340198,[입찰대행]양복산물 가공시설 신축공사,287374000,3,,,
20220340206,2022년 행복한 우리마을 조성사업(용호리 1217-13번지 일원) 석축설치공사,33790000,3,,,
20220340217,2022년 행복한 우리마을 조성사업(명월리 121-1번지 일원) 배수로 설치공사,37390000,3,,,
20220340219,2022년 사방사업(기번4/사방댐-주파),199012000,2,,,
20220340244,2022년 사방사업(기번5/계류보전-주파),89466000,2,,,
20220340343,2022학년도 냉.온수기세관 및 부속설비 수리,180400000,3,,,
20220340874,"개방형의료혁신센터 건립사업 건축공사(건축, 토목, 조경, 기계)",29662578000,2,,,
20220341135,항도청과 사무동 옥상방수공사,40722000,3,,,
20220341166,부산청과 사무동 옥상방수공사,39050000,3,,,
20220341169,호남권 종자종합처리센터 저온저장고 신축공사,1844725000,2,,,
20220341186,포기조 유량조절수문 전동구동기 제어반 제작 설치 전기공사,99957000,3,,,
20220341225,2022년 조림사업,125067000,3,,,
20220341572,가수동 315-8번지 일원 노후상수관로 교체공사,97821000,3,,,
20220341601,갈곶동 308-1번지 일원 노후상수관로 교체공사,91515000,3,,,
20220341920,인천대학교 R&D COMPLEX 건립사업 공사 [건축],15146991000,2,,,
20220341921,위례중앙초 외 4교 소규모 방수공사,21259000,3,,,
20220341968,하원초 외 5교 소규모 방수공사,33050000,3,,,
20220342105,(입찰대행) 태흥3리 마을회 다가구(임대)주택 신축공사,847287000,3,,,
20220342156,2022년 판교지사 열수송관공사,3235558700,2,,,
20220342191,중앙하수처리장 석면 해체공사,25740000,3,,,
20220342248,소규모 마을하수처리시설 협잡물 자동스크린 설치사업(기계),16863000,3,,,
20220342356,중부권 인재개발원 신축 통신공사(총체 및 1차),1665236935,2,,,
20220342375,하남중 다목적교실 증축공사 제한입찰 공고,970860000,3,,,
20220342376,2022년 취약계층 재래식화장실 개선사업,27000000,3,,,
20220342439,계룡소방서 다목적 훈련탑 증축 전기공사,23250000,3,,,
20220342797,소액수의 견적제출 안내 공고(신촌리 2415-1번지 공영주차장 조성사업),58782000,3,,,
20220342800,소액수의 견적제출 안내 공고(신촌리 444번지 일원 도로확포장공사),82236000,3,,,
20220342801,소액수의 견적제출 안내 공고(와산리 1488번지 일원 농로개설공사),88596000,3,,,
20220343047,2022년 광암어린이공원 정비공사,65535000,3,,,
20220343066,석모1리(91번지 일원) 구거정비 및 노후수로관 교체공사,72628000,3,,,
20220343079,석포리(715번지 일원) 구거정비공사,70889000,3,,,
20220343123,2022년 어등산 힐링 체험숲 관목류 식재공사,150000000,3,,,
20220343218,2022년 중부지소 문비 및 권양기 보수공사,52818000,2,,,
20220343257,2022년 쌈지공원 조성사업,53581000,3,,,
20220343380,서울 태릉과 강릉 수계 정비공사,740942000,2,,,
20220343393,두드림 생활체육광장 조성사업,107250000,3,,,
20220343408,2022년도 신방쉼터 녹지관리공사,35000000,3,,,
20220343427,2022년 동남구 어린이공원 및 소공원 등 녹지관리공사,55000000,3,,,
20220343446,사회복지법인 용산상희원 양재동 전기공사,342932000,3,313782000,0,303920320
20220343485,일로읍 복룡1리 복룡촌마을 하수구정비공사,25638000,3,,,
20220343636,2022 정주환경개선 대술면 이티리 배수로 정비사업,23320000,3,,,
20220343651,2022 정주환경개선 신양면 가지1리 마을안길 포장공사,53020000,3,,,
20220343671,2022 정주환경개선 광시면 대리신흥지구 마을안길 정비사업,28731000,3,,,
20220343727,백운면 도곡1리 우경 마을안길 정비사업,25918000,3,,,
20220343752,2022 정주환경개선 신양면 하천리 배수로 정비사업,39490000,3,,,
20220343779,내평 골다리골 농로 개설공사,26140000,3,,,
20220343781,한국교원대학교부설고등학교 본관교사 창호교체 공사,161160000,2,,,
20220343808,인송중 다목적강당 및 급식소 증축공사,3729523000,3,,,
20220343810,점촌마을 안길 정비공사,26906000,3,,,
20220343817,예산4리 도시 취약지역 생활여건 개조사업,125180000,3,,,
20220343837,예산읍 예산리 공영주차장 조성사업(구 중앙극장 뒤),41373000,3,,,
20220343858,"LED가로등기구 교체공사(물금, 동면)",38723000,3,,,
20220343886,LED가로등기구 교체공사(원동면),51194000,3,,,
20220343912,2022년 우도 독살 복원사업,87000000,3,,,
20220343925,신기마을 배수로 정비공사,29183000,3,,,
20220343930,전곡지구 재해위험개선지구 정비사업,2795650000,3,,,
20220343959,수산물동 제빙실 개선공사,151755000,3,,,
20220343960,가로등부착형 보행등 설치공사,48004900,3,,,
20220343971,북면 소곡리 827번지 세천 보강공사,62090000,3,,,
20220343973,황산공원 파크골프장 보수공사,70000000,3,,,
20220343987,가촌서로 가로수 식재공사,43266000,3,,,
20220343999,죽변면 후정2리 세천정비공사,81350000,3,,,
20220344008,2022년 임도보수 공사,23117000,3,,,
20220344022,근남면 수산리(상토일동) 배수로 정비공사,61950000,3,,,
20220344025,성남양지초 외 7교 외부시설물 도장공사,12347000,3,,,
20220344039,2022년도 어린이보호구역 개선사업(범어초 외5개소),29350000,3,,,
20220344041,산림서비스 등산로 정비사업(신기산성지구),69410000,3,,,
20220344053,2022년 임도보수공사(두천임도),25454000,3,,,
20220344070,"목천읍 송전리 외 1개소 가압장 설치공사(토목, 기계)",135850000,3,,,
20220344133,2022년 상반기 아스콘 덧씌위기 공사(남부지역),56189000,3,,,
20220344158,목천읍 송전리 외 1개소 가압장 설치공사(전기 및 계측제어),83822000,3,,,
20220344161,매방발 간이양수장 설치 토목(기계)공사,64266000,2,,,
20220344164,불곡중 외 8교 외부시설물 도장공사,11904000,3,,,
20220344223,영통초 화장실 개선공사,160579000,3,,,
20220344238,율리지구 재해위험지역 재난대응 조기경보시스템 구축사업,303350000,3,275772727,87.745,268037900
20220344265,중리종합사회복지관 천장형 에어컨 설치 및 노후에어컨 철거 기능보강공사(수정),35000000,3,,,
20220344267,대전중 보차도분리 및 기타공사,92627000,3,,,
20220344268,애월읍 고성리 151-1번지 재활용도움센터 조성공사,160967000,3,,,
20220344306,2022년 이천시 국지도 및 지방도 도로안전시설물 정비 단가계약,100000000,3,,,
20220344362,2022년 화성시 국지도 및 지방도 도로안전시설물 정비 단가계약,100000000,3,,,
20220344374,지방하천(산방천) 퇴적토정비사업,168003000,3,,,
20220344407,시청사 전기설비 환경개선공사(연간단가),40000000,3,,,
20220344417,도매시장내 수산물동 냉동창고 기계설비 보수공사,133200000,3,,,
20220344422,2022년 평택시 국지도 및 지방도 포트홀 등 소규모 포장정비 단가계약,100000000,3,,,
20220344424,신원1지구 근린공원 녹지관리 공사,98028000,3,,,
20220344438,2020년 영덕군 백석항 어촌뉴딜사업 시설공사(조경),348778600,3,,,
20220344448,노아병원 복지시설 나눔숲 조성사업,149568000,3,,,
20220344457,신원2지구 근린공원 녹지관리 공사,84380000,3,,,
20220344475,용담1동 남성로 인도 정비공사,75581000,3,,,
20220344476,오금1지구 근린공원 녹지관리 공사,68075000,3,,,
20220344495,오금2지구 근린공원 녹지관리 공사,67347000,3,,,
20220344506,"(재)한국동물용의약품평가연구원 시험동물시설 신축공사(건축,토목,기계)",17422613000,3,,,
20220344525,무갑리 도로 확포장공사,152688000,3,,,
20220344550,2022년 안민도로 데크로드 정비공사,38350000,3,,,
20220344611,원주세브란스기독병원 응급센터 냉난방 펌프 추가공사,91000000,3,,,
20220344671,수안보면농촌중심지활성화사업소방공사,29000000,3,,,
20220344701,2022년 정릉천고가교 보수공사,198440000,3,180400000,87.745,173163510
