bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20230709166,문시중 도서실 재구조화 공사,175041000,3.0,159128183,87.745,154839950
20230913618,고성중앙고 그린스마트미래학교 본관동 개축 통신공사 입찰 공고,844467000,3.0,767697272,87.745,752947105
20230913666,고성중앙고 그린스마트미래학교 본관동 개축 소방공사 입찰 공고,431060000,3.0,391872727,87.745,376159549
20230913726,고성중앙고 그린스마트미래학교 본관동 개축 기계설비공사 입찰 공고,465883000,3.0,423530000,87.745,410923050
20230931368,울산항 항만시설 성능개선공사,10206934000,2.0,9279030909,85.495,8823199910
20231001138,한국소방마이스터고등학교 기숙사(영공학사) 보수 공사,410268000,3.0,372970909,87.745,358976900
20231005901,청도지구 다목적농촌용수개발사업 토목건축기계공사,19871934000,2.0,17816100000,0,16199596000
20231008770,부천고 그린스마트 미래학교 공사(장기계속공사),11623917000,3.0,,,
20231010912,여수시 지방상수도 현대화사업 블록구축 및 관망 정비공사,17334706000,3.0,,,
20231012542,"상암고 컴퓨터실, 사회교과교실 환경개선공사  2인이상 소액수의 견적제출 안내 공고",126643000,3.0,115130000,87.745,112421500
20231012927,대곡지구 하천재해예방사업,10249288000,3.0,,,
20231015463,첨단고등학교 음악실 환경개선공사 수의계약 안내공고,43440000,3.0,39490909,87.745,37932310
20231015861,용기포항 카페리부두 축조공사,11409662000,2.0,,,
20231017159,와우천 정비사업,5316283000,3.0,,,
20231017824,국립암센터 독립형 양성자치료기 도입 건축사업 건축공사,23462712000,2.0,,,
20231018976,공주대학교 미래융합역사문화관 신축공사,9302331000,2.0,,,
20231019796,정읍문화유산방문자센터건립건축공사(장기계속계약),6288560000,3.0,,,
20231019871,단양군 8개 읍·면 핸드레일 설치공사,39000000,3.0,,,
20231019934,중부 안전체험교육장 건립 건축(기계·토목·조경)공사,6444854000,2.0,,,
20231020156,진도초 그린스마트스쿨 개축공사,10038596000,3.0,,,
20231022085,국도21호선 김제 공덕대교(하) 교면포장 보수공사,1941170000,2.0,,,
20231022997,가칭 홍성주촌중학교 교사 신축공사,23406344000,3.0,,,
20231023099,울산자유무역지역 표준공장 증축사업(통신공사),553327000,2.0,,,
20231023409,울산자유무역지역 표준공장 증축사업(전기공사),1644213000,2.0,,,
20231023642,에코팜랜드 조성사업(건축),15955665000,3.0,,,
20231023674,공학원 복도 및 계단실 바닥재 교체공사,574710000,2.0,,,
20231024979,삼성현중학교 진입로포장 및 기타공사 소액수의 견적제출 안내공고,176000000,3.0,160000000,87.745,154497350
20231025040,"청북하늘빛호수공원 조성사업(조경,토목)",15471349000,3.0,,,
20231025356,국립암센터 독립형 양성자치료기 도입 건축사업 전기공사,4822271000,2.0,,,
