bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20240533784,감천초등학교 아침체인지 시설 인조잔디운동장 외 조성공사 2인(소액)수의 견적제출 공고,178600000,3,162363640,87.745,159281700
20240540149,코스콤 안양데이터센터 신축 건축공사,60299000000,2,,,
20240605483,울산센터 냉각수 공급인프라 구축 공사(기계),124960000,2,113600000,87.745,109859700
20240605489,울산센터 냉각수 공급인프라 구축 공사(전기),60214000,2,54740000,87.745,52772180
20240608671,인계면 농촌유학 가족체류형 거주시설 조성사업 건축공사,620844000,3,605621792,87.745,552684330
20240613539,주촌선천2초등학교 교사 신축공사,24829230000,3,,,
20240618279,동명초등학교 교사개축 기계설비공사(계속비),1638522000,3,,,
20240618834,가축행복농장 지원사업-우레탄폼 단열 및 림코팅공사,158300000,3,,,
20240619506,시립영등포보현종합지원센터 3층 시스템 냉난방기 교체 공사,63286000,3,,,
20240621777,테니스장 LED조명 교체 전기공사,43340000,2,39400000,87.745,38269481
20240623590,연천중학교 복합문화 공간 조성 공사,132542444,3,120493131,87.745,116104580
20240623931,대촌중학교 교무실 현대화사업 시설 공사 수의견적 제출 안내 공고,81982000,3,74529091,87.745,72707567
20240624274,포천여중 본관동 및 별관동 외벽 환경개선공사 소액수의 견적제출 안내,21415000,3,19468182,87.745,
20240624308,송우초외 1교 외부 환경개선공사 소액수의 견적제출 안내,49940000,3,45400000,87.745,44079000
20240626742,(가칭)오포고 신축공사,17477963000,3,,,
20240627513,"제1정수장 고도정수처리시설 설치사업(토목,건축,기계)",10496700000,3,,,
20240627666,부산도시철도 사상~하단선 전차선로 설치공사(2구간),4257326000,3,,,
20240628085,오리초 담장개선 공사,192345000,3,174859091,87.745,170707815
20240628736,여주초 신설대체 이전공사,17594978000,3,,,
20240628790,국립연천현충원 조성사업,73284321000,2,,,
20240629883,백제중학교 행복공간 야외무대 조성공사,24060000,3,,,
20240630165,신성일기념관 건립 건축공사,3814961000,3,,,
