bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20230810473,제주 MICE 다목적 복합시설 확충사업 전기공사,3204377000,3,,,
20230815502,진접선(4호선연장) 차량기지 1구간 정보통신공사,6514899000,3,,,
20230824567,보정종합복지회관 건립사업 건축공사,32866134000,3,,,
20230827425,진접선(4호선연장) 차량기지 2구간 정보통신공사,6366530000,3,,,
20230827469,천안 성환-평택 소사 도로건설공사,60456048000,2,,,
20230828418,원북면 행정복지센터 건립사업(건축),9415378000,3,,,
20230830150,가칭 전남교육수련원 신축공사,19311714000,3,,,
20230830588,동래고등학교 교사개축공사,17980529000,3,,,
20230830630,광양햇살학교 AI교실 구축 실내건축 공사,46585000,3,42350000,87.745,40780725
20230831657,온산국가산단(제4분구) 완충저류시설 설치사업,27875929000,3,,,
20230832184,칠보초 공간혁신 증개축 및 리모델링 공사,11502952000,3,,,
20230833775,금오초등학교 그린스마트스쿨사업 건축공사,9480680000,3,,,
20230833851,(가칭)상신중 신축공사,17043537000,3,,,
20230833894,창남초등학교 그린스마트미래학교 리모델링 및 증축공사,3749362000,3,,,
20230834299,"전남대 동물실험센터 신축공사(건축,토목,조경)",6980691000,2,,,
20230834625,(가칭)혜성유치원 및 혜성초등학교 교사 신축공사,29670088000,3,,,
20230834706,(가칭)동탄9중 신축공사,17281003000,3,,,
20230834915,정자1동 복합청사 신축공사(타절 후 잔여분),11077716000,3,,,
20230836247,낭산지구 다목적농촌용수개발사업 토목건축공사,13753125000,2,,,
20230836450,"궁리,방축처리분구 하수관로 정비사업(장기계속, 총괄분)",15167280000,3,,,
20230900084,남양고 그린스마트 미래학교 및 교사 증축공사,10946683000,3,,,
20230900633,신갈초 그린스마트 미래학교 개축 및 리모델링 공사,12370768000,3,,,
20230900724,[긴급]연무초 그린스마트 증축 및 리모델링공사(장기계속),8882932000,3,,,
20230902032,창원시 농업기술센터 통합청사 신축공사,19864640000,3,,,
20230903459,이천시 부발 공공하수도시설 설치사업 정보통신공사,190335000,3,171570000,0,171281450
20230904235,[긴급](가칭)사송3유치원 교사 신축공사,8505228000,3,,,
20230905058,(가칭)화곡초등학교 신축 전기공사(계속비공사),3132562000,3,,,
20230905111,(가칭)화곡초등학교 신축 통신공사(계속비공사),1441861000,3,,,
20230905300,어등초등학교 AI정보교육실 및 학교자치복합공간 환경개선공사 수의계약 안내공고,96195000,3,87450000,87.745,84279820
20230906180,미래자동차 버추얼센터 신축공사,3820608000,3,,,
20230907164,(가칭)화곡초등학교 신축공사(계속비공사),19922819000,3,,,
20230907171,비응항 어선접안시설 부잔교 설치공사,3760269000,2,,,
20230907225,제1동·제2동·제8동 진료공간 재배치 건축공사,2645000000,2,,,
20230907265,제1동·제2동·제8동 진료공간 재배치 기계설비공사,1222800000,2,,,
20230907304,제1동·제2동·제8동 진료공간 재배치 전기공사,905160000,2,,,
20230907460,주례초등학교 그린스마트미래학교 리모델링공사(계속비공사)(긴급),6642736000,3,,,
20230907563,한국폴리텍대학 울산캠퍼스 AI산업안전시스템과 환경개선 및 인테리어공사(건축),552479000,2,,,
20230908232,2023년 사육동 안정성 확보 및 사육시스템 개선공사,346669000,2,,,
20230908397,대학본부 테니스장 관리동 보수공사(기계),42962000,2,,,
20230908622,대학본부 테니스장 관리동 보수공사(건축),216062000,2,,,
20230908689,한국가스안전공사 액화수소 검사지원센터 건립공사(전기),1564676000,2,,,
20230908987,은평메디텍고등학교 내가그린공감학교 조성 건축공사 소액수의 견적서 제출(변경공고),121868000,2,110789091,87.745,106981410
20230909066,"2023년 하반기 신임교수 연구실, 실험실 보수공사",118694000,2,,,
20230909146,제주 건설회관 팬코일유닛 교체공사,306145000,2,278313636,87.745,269221400
20230909389,안동-영덕 국도건설공사 전기공사,3450166000,2,,,
20230909395,구미중학교 그린스마트스쿨 사업 건축공사,8554648000,3,,,
20230909482,경인교육대학교 정보통신망선로 고도화 통신공사,726699000,2,,,
20230910032,살레시오고등학교 복합예술공간(야외학습장) 조성 공사 소액수의 공고,53420000,3,48563637,87.745,46755163
20230910119,복수면 신대2리 게이트볼장 설치공사,72170000,3,65609091,87.745,63644000
20230910126,고성연수원 수막설비 설치공사,835241000,2,,,
20230910440,고덕공공하수처리시설 총인처리시설 설치사업,21384935000,3,,,
20230910480,중부 안전체험교육장 건립 소방공사,627114000,2,,,
20230910612,FITI시험연구원 순환경제 혁신 지원센터 통신공사,235737000,2,214306364,70,164655505
