bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
R25BK00561541,부산공동어시장 현대화사업,160804100000,3,,,
R25BK00718928,남해군 청사 신축공사,40386778000,3,,,
R25BK00727570,"곤양지구(2단계) 하수관로 정비사업(총괄분, 2025년분)",14030422000,3,,,
R25BK00730169,신천처리구역(봉덕동 고산골일원)우·오수분류화 사업,7438714000,3,,,
R25BK00733392,단샘초 교실 증축 전기공사(계속비),665104000,3,604640000,87.745,585155174
R25BK00736511,단양 디캠프 조성사업(건축),11241601000,3,,,
R25BK00739323,신기천 지방하천 정비사업,22742681000,3,,,
R25BK00742858,삼산 신기 농어촌마을하수도 정비사업(총괄및1차분),11546829000,3,,,
R25BK00743953,원북 다채움 국민체육센터 건립공사(건축),6127697000,3,,,
R25BK00744953,인천지방국세청 청사신축 건축공사(건축/토목/조경/기계),35828482000,2,,,
R25BK00745148,"청주시청사 건립공사(건축,토목,기계,조경)",106639393000,3,,,
R25BK00751338,홍성군 무장애 통합놀이터 조성 사업,160000000,3,,,
R25BK00751386,(가칭)기흥1중 신축 전기공사,2311657000,3,,,
R25BK00751631,구수산 스포츠센터 건립공사(건축),17589337000,3,,,
R25BK00752961,시도31호선 도로확포장공사(전체분 및 1차분),8591758000,3,,,
R25BK00755776,초임계 원료의약품 생산 플랫폼 구축사업 증축공사(건축)  변경공고 ,3013096000,3,2739178184,86.745,2666879000
R25BK00756560,요기지구 배수개선사업 토목기계건축공사,6396178000,2,,,
R25BK00756958,남양읍 행정복지센터 건립사업(건축),15490709000,3,,,
R25BK00757578,석기내 자연재해위험개선지구 정비사업(1차분),8075938000,3,,,
R25BK00758989,월연지구 배수개선사업 토목기계공사,3692197000,2,,,
R25BK00759361,2025년 아동복지시설 기능보강사업(난방보일러 교체공사) 입찰 변경공고,145411000,3,,,
R25BK00759473,(가칭)해양3고등학교 신축공사(계속비),21421237000,3,,,
R25BK00759759,교동마을 도시계획도로 정비공사,17660000,3,,,
R25BK00762183,(가칭)미사4고 신축공사,22086503000,3,,,
R25BK00763532,국립경주박물관 신라미술관 공기조화기 교체 기계설비공사,373969000,2,,,
